# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged
67            	DILUPBiCGStab	3.650920e-04	2.007330e-06	4	7.134350e-03	4.757900e-05	3	false	DILUPBiCGStab	4.430860e-09	4.430860e-09	0	true	GAMG	1.765930e-02	1.700330e-04	3	true	DILUPBiCGStab	2.342360e-13	2.342360e-13	0	true
68            	DILUPBiCGStab	3.441260e-04	2.874280e-06	3	6.813340e-03	4.562510e-05	3	false	DILUPBiCGStab	4.430860e-09	4.430860e-09	0	true	GAMG	1.758590e-02	1.676430e-04	3	true	DILUPBiCGStab	2.342360e-13	2.342360e-13	0	true
69            	DILUPBiCGStab	3.529950e-04	2.204750e-06	4	6.760610e-03	4.480590e-05	3	false	DILUPBiCGStab	4.430860e-09	4.430860e-09	0	true	GAMG	1.747770e-02	1.660940e-04	3	true	DILUPBiCGStab	2.342360e-13	2.342360e-13	0	true
70            	DILUPBiCGStab	3.324980e-04	1.420120e-06	4	6.454010e-03	4.295440e-05	3	false	DILUPBiCGStab	4.430860e-09	4.430860e-09	0	true	GAMG	1.750640e-02	1.741520e-04	3	true	DILUPBiCGStab	2.342360e-13	2.342360e-13	0	true
71            	DILUPBiCGStab	3.443890e-04	1.383260e-06	4	6.439340e-03	4.284260e-05	3	false	DILUPBiCGStab	4.430860e-09	4.430860e-09	0	true	GAMG	1.763720e-02	8.476400e-05	4	true	DILUPBiCGStab	2.342360e-13	2.342360e-13	0	true
72            	DILUPBiCGStab	3.402140e-04	1.375240e-06	4	6.295740e-03	4.268930e-05	3	false	DILUPBiCGStab	4.430860e-09	4.430860e-09	0	true	GAMG	1.781940e-02	9.008610e-05	4	true	DILUPBiCGStab	2.342360e-13	2.342360e-13	0	true
73            	DILUPBiCGStab	3.523380e-04	1.243230e-06	4	6.299540e-03	4.339650e-05	3	false	DILUPBiCGStab	4.430860e-09	4.430860e-09	0	true	GAMG	1.842780e-02	9.833670e-05	4	true	DILUPBiCGStab	2.342360e-13	2.342360e-13	0	true
74            	DILUPBiCGStab	3.529140e-04	1.447800e-06	4	6.216250e-03	4.219620e-05	3	false	DILUPBiCGStab	4.430860e-09	4.430860e-09	0	true	GAMG	1.842700e-02	1.085300e-04	4	true	DILUPBiCGStab	2.342360e-13	2.342360e-13	0	true
75            	DILUPBiCGStab	3.651580e-04	1.365630e-06	4	6.243280e-03	4.251460e-05	3	false	DILUPBiCGStab	4.430860e-09	4.430860e-09	0	true	GAMG	1.841900e-02	1.027950e-04	4	true	DILUPBiCGStab	2.342360e-13	2.342360e-13	0	true
76            	DILUPBiCGStab	3.785820e-04	1.393160e-06	4	6.275720e-03	4.173270e-05	3	false	DILUPBiCGStab	4.430860e-09	4.430860e-09	0	true	GAMG	1.866430e-02	9.965170e-05	4	true	DILUPBiCGStab	2.342360e-13	2.342360e-13	0	true
77            	DILUPBiCGStab	3.972310e-04	1.878540e-06	4	6.331480e-03	4.761690e-05	3	false	DILUPBiCGStab	4.430860e-09	4.430860e-09	0	true	GAMG	1.910200e-02	9.744590e-05	4	true	DILUPBiCGStab	2.342360e-13	2.342360e-13	0	true
78            	DILUPBiCGStab	4.188450e-04	2.468010e-06	4	6.395540e-03	5.022200e-05	3	false	DILUPBiCGStab	4.430860e-09	4.430860e-09	0	true	GAMG	1.949350e-02	9.692350e-05	4	true	DILUPBiCGStab	2.342360e-13	2.342360e-13	0	true
79            	DILUPBiCGStab	4.300210e-04	2.394770e-06	4	6.379190e-03	4.313510e-05	3	false	DILUPBiCGStab	4.430860e-09	4.430860e-09	0	true	GAMG	1.984840e-02	9.765050e-05	4	true	DILUPBiCGStab	2.342360e-13	2.342360e-13	0	true
80            	DILUPBiCGStab	4.409640e-04	2.223250e-06	4	6.361090e-03	4.149490e-05	3	false	DILUPBiCGStab	4.430860e-09	4.430860e-09	0	true	GAMG	2.025780e-02	1.022170e-04	4	true	DILUPBiCGStab	2.342360e-13	2.342360e-13	0	true
81            	DILUPBiCGStab	4.756980e-04	2.404130e-06	4	6.473860e-03	4.115590e-05	3	false	DILUPBiCGStab	4.430860e-09	4.430860e-09	0	true	GAMG	2.075790e-02	1.081920e-04	4	true	DILUPBiCGStab	2.342360e-13	2.342360e-13	0	true
82            	DILUPBiCGStab	5.509070e-04	3.900580e-06	3	6.779150e-03	4.240310e-05	3	false	DILUPBiCGStab	4.430860e-09	4.430860e-09	0	true	GAMG	2.134650e-02	1.169710e-04	4	true	DILUPBiCGStab	2.342360e-13	2.342360e-13	0	true
83            	DILUPBiCGStab	6.354700e-04	3.626450e-06	3	7.064950e-03	4.355570e-05	3	false	DILUPBiCGStab	4.430860e-09	4.430860e-09	0	true	GAMG	2.217430e-02	1.217160e-04	4	true	DILUPBiCGStab	2.342360e-13	2.342360e-13	0	true
84            	DILUPBiCGStab	7.103300e-04	4.048590e-06	3	7.254310e-03	4.444570e-05	3	false	DILUPBiCGStab	4.430860e-09	4.430860e-09	0	true	GAMG	2.286120e-02	1.264040e-04	4	true	DILUPBiCGStab	2.342360e-13	2.342360e-13	0	true
85            	DILUPBiCGStab	7.735400e-04	4.381200e-06	3	7.371910e-03	4.504410e-05	3	false	DILUPBiCGStab	4.430860e-09	4.430860e-09	0	true	GAMG	2.287750e-02	1.232440e-04	4	true	DILUPBiCGStab	2.342360e-13	2.342360e-13	0	true
86            	DILUPBiCGStab	7.986170e-04	4.571440e-06	3	7.355130e-03	4.494630e-05	3	false	DILUPBiCGStab	4.430860e-09	4.430860e-09	0	true	GAMG	2.297690e-02	1.210230e-04	4	true	DILUPBiCGStab	2.342360e-13	2.342360e-13	0	true
87            	DILUPBiCGStab	8.010610e-04	4.616540e-06	3	7.257070e-03	4.437710e-05	3	false	DILUPBiCGStab	4.430860e-09	4.430860e-09	0	true	GAMG	2.241350e-02	1.288760e-04	4	true	DILUPBiCGStab	2.342360e-13	2.342360e-13	0	true
88            	DILUPBiCGStab	7.978360e-04	6.116490e-06	4	7.144620e-03	4.826610e-05	3	false	DILUPBiCGStab	4.430860e-09	4.430860e-09	0	true	GAMG	2.178090e-02	1.371300e-04	4	true	DILUPBiCGStab	2.342360e-13	2.342360e-13	0	true
89            	DILUPBiCGStab	7.930770e-04	4.571480e-06	3	7.036120e-03	4.323650e-05	3	false	DILUPBiCGStab	4.430860e-09	4.430860e-09	0	true	GAMG	2.107010e-02	1.364600e-04	4	true	DILUPBiCGStab	2.342360e-13	2.342360e-13	0	true
